plot_quad,resident20_g,vedu20_g,vedu19_g
ARAR01_C.1,5.49,6.98,5.08
ARAR01_C.2,5.06,4.75,1.79
ARAR01_C.3,1.82,0.49,1.8
ARAR01_C.4,4.25,1.19,0.99
ARAR01_C.5,3.82,1.65,0.87
ARAR01_C.6,4,2.87,3.2
ARAR01_C.7,0.97,3.14,1.9
ARAR01_CC1,3.1,0.29,0.16
ARAR01_CC2,2.62,3.8,1.8
ARAR01_CC3,1.93,1.96,2.22
ARAR02_C.1,1.14,2.62,2.29
ARAR02_C.2,1.26,4.04,3.12
ARAR02_C.3,3.55,3.74,2.89
ARAR02_C.4,11.88,3.87,2.97
ARAR02_C.5,2.06,4.04,0.13
ARAR02_C.6,2.82,4.82,1.81
ARAR02_C.7,3.83,3.95,3.17
ARAR02_CC1,7.83,2.41,1.46
ARAR02_CC2,3.58,1.06,1.33
ARAR02_CC3,12.29,1.27,0.68
ARAR03_C.1,1.33,1.11,0.65
ARAR03_C.2,3.465,0.51,0.25
ARAR03_C.3,10.66,0.4,0.01
ARAR03_C.4,2.6,0.52,0.45
ARAR03_C.5,6.14,0.63,0.38
ARAR03_C.6,2.44,2.1,2.39
ARAR03_C.7,1.77,2.12,2.81
ARAR03_CC1,7.55,0.37,1.93
ARAR03_CC2,0.69,0.44,5.06
ARAR03_CC3,2.58,0.58,1.78
ARAR04_C.1,7,5.01,2.1
ARAR04_C.2,10.92,3.5,1.25
ARAR04_C.3,4.37,2.35,0.95
ARAR04_C.4,6.49,13.85,1.35
ARAR04_C.5,4.03,4.8,1.52
ARAR04_C.6,23.83,3.23,0.99
ARAR04_C.7,6.76,3.13,0.57
ARAR04_CC1,4.53,5.31,3.22
ARAR04_CC2,5.12,2.85,0.74
ARAR04_CC3,5.2,3.75,2.4
ARAR05_C.1,8.42,0.55,1
ARAR05_C.2,12.5,2.01,0.59
ARAR05_C.3,5.8,3.23,1.57
ARAR05_C.4,3,2.27,0.46
ARAR05_C.5,3.2,4.89,2.11
ARAR05_C.6,3.08,1.84,0.6
ARAR05_C.7,5.85,1.59,0.49
ARAR05_CC1,13.06,0,0
ARAR05_CC2,6.94,1.47,0.4
ARAR05_CC3,3.37,3.01,1.03
ARRI01_C.1,0.97,4.32,2.47
ARRI01_C.2,0.91,2.69,0.7
ARRI01_C.3,1.92,1.54,0.01
ARRI01_C.4,0.25,3.22,0.09
ARRI01_C.5,1.65,2.52,0.7
ARRI01_C.6,0.17,1.11,0
ARRI01_C.7,1.01,2.67,0.52
ARRI01_CC1,3.85,0.08,0
ARRI01_CC2,1.12,0.94,0.01
ARRI01_CC3,2.92,0.22,0
ARRI02_C.1,0.85,5.3,2.36
ARRI02_C.2,2.32,3.64,0.92
ARRI02_C.3,1.27,5.32,2.5
ARRI02_C.4,2.2,2.22,0.48
ARRI02_C.5,1.68,4.11,1.11
ARRI02_C.6,4.73,3.86,1.58
ARRI02_C.7,5.32,1.43,2.25
ARRI02_CC1,4.68,4.12,1.1
ARRI02_CC2,1.13,0.57,0.71
ARRI02_CC3,2.67,8.83,6.88
ARRI03_C.1,1.97,1.9,1.03
ARRI03_C.2,4.28,1.24,0.01
ARRI03_C.3,2.29,1.28,0.42
ARRI03_C.4,4.78,1.72,1.01
ARRI03_C.5,4.43,0.77,0.12
ARRI03_C.6,2.82,0.78,0.18
ARRI03_C.7,1.2,1.66,1.08
ARRI03_CC1,5.1,0.74,0.01
ARRI03_CC2,1.7,1.06,1.84
ARRI03_CC3,4.82,0.005,0
ARRI04_C.1,1.76,6.05,2.11
ARRI04_C.2,1.89,1.38,0.22
ARRI04_C.3,0.91,3.23,1.19
ARRI04_C.4,1.16,4.11,0.83
ARRI04_C.5,3.77,3.21,1.29
ARRI04_C.6,2.12,2.12,0.43
ARRI04_C.7,1.62,2.41,0.48
ARRI04_CC1,1.76,0.33,0.01
ARRI04_CC2,1.82,1.88,0.01
ARRI04_CC3,1.23,0.93,0.27
ARRI05_C.1,13.57,2.36,0.64
ARRI05_C.2,4.92,5.52,0.69
ARRI05_C.3,1.21,6.67,0.91
ARRI05_C.4,2.08,5.03,2
ARRI05_C.5,2.72,3.99,0.5
ARRI05_C.6,0.72,2.81,0.01
ARRI05_C.7,20.16,3.04,0.22
ARRI05_CC1,3.25,2.89,1.08
ARRI05_CC2,2.04,3.41,1.06
ARRI05_CC3,1.02,3.45,0.66
SEEP01_C.1,11.34,2.07,1.68
SEEP01_C.2,9.27,1.59,1.47
SEEP01_C.3,2.5,6.51,1.63
SEEP01_C.4,6.53,4.29,0.98
SEEP01_C.5,4.96,1.5,0.67
SEEP01_C.6,4.54,5.63,2.8
SEEP01_C.7,5.89,3.73,2.27
SEEP01_CC1,14.42,4.77,2.3
SEEP01_CC2,8.64,1.99,2.55
SEEP01_CC3,3.21,1.59,2.57
SEEP02_C.1,9.76,13,0.85
SEEP02_C.2,9.03,4.39,0.58
SEEP02_C.3,4.71,11.82,1.42
SEEP02_C.4,6.63,4.25,3.94
SEEP02_C.5,15.75,3.93,0.81
SEEP02_C.6,11.97,7.54,1.74
SEEP02_C.7,3.33,6.23,2.03
SEEP02_CC1,12.19,5.41,3.4
SEEP02_CC2,11.29,6.57,0.93
SEEP02_CC3,13.58,5.41,0.58
SEEP03_C.1,7.02,1.84,1.4
SEEP03_C.2,6.51,2.32,2.42
SEEP03_C.3,15.94,1.52,0.59
SEEP03_C.4,5.68,2.73,0.66
SEEP03_C.5,3.45,2.89,2.06
SEEP03_C.6,8.35,4.11,2.62
SEEP03_C.7,6.75,4.06,1.92
SEEP03_CC1,8.28,0.95,1.08
SEEP03_CC2,19.54,0.82,0.89
SEEP03_CC3,7.17,0.19,0.97
SEEP04_C.1,12.16,4.6,0.65
SEEP04_C.2,3.02,8.88,1.14
SEEP04_C.3,34.97,4.09,0.82
SEEP04_C.4,17.14,4.33,0.47
SEEP04_C.5,10.98,2.11,0.08
SEEP04_C.6,18.22,2.5,0.33
SEEP04_C.7,10.4,2.63,0.73
SEEP04_CC1,9.81,9.18,1.66
SEEP04_CC2,13.3,2.56,0.86
SEEP04_CC3,12.62,1.65,0.27
SEEP05_C.1,13.35,0.16,0.03
SEEP05_C.2,12.55,0.39,0
SEEP05_C.3,9.82,0.97,0
SEEP05_C.4,15.17,0.85,0
SEEP05_C.5,9.03,1.87,0.12
SEEP05_C.6,10.63,6.4,2.23
SEEP05_C.7,8,2.85,0.28
SEEP05_CC1,21.18,0.28,0.04
SEEP05_CC2,14.1,0,0
SEEP05_CC3,14.56,2.13,0.08
